,X,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,30430,38,entrepreneur,married,tertiary,no,228,yes,no,cellular,5,feb,105,1,-1,0,unknown,no
2,40783,63,retired,married,unknown,no,538,no,no,cellular,11,aug,373,2,-1,0,unknown,no
3,29845,57,admin.,married,secondary,no,4391,no,no,telephone,4,feb,1416,1,-1,0,unknown,yes
4,12628,37,management,married,tertiary,no,1265,no,yes,unknown,4,jul,101,1,-1,0,unknown,no
5,89,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
6,15314,35,unemployed,married,tertiary,no,-94,yes,no,cellular,18,jul,354,1,-1,0,unknown,no
7,3333,42,blue-collar,married,secondary,no,597,yes,no,unknown,15,may,124,1,-1,0,unknown,no
8,4489,58,housemaid,married,primary,no,11,yes,no,unknown,20,may,90,1,-1,0,unknown,no
9,16295,47,management,married,tertiary,no,4386,yes,no,telephone,23,jul,43,1,-1,0,unknown,no
10,37607,32,services,single,secondary,no,159,yes,yes,cellular,14,may,46,1,-1,0,unknown,no
11,18536,56,technician,divorced,tertiary,no,1593,yes,no,cellular,31,jul,434,4,-1,0,unknown,no
12,11533,44,blue-collar,married,secondary,no,17,yes,no,unknown,19,jun,153,14,-1,0,unknown,no
13,39441,39,technician,divorced,secondary,no,385,no,no,cellular,25,may,644,1,-1,0,unknown,no
14,892,53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown,yes
15,25279,42,management,single,tertiary,no,1113,yes,yes,cellular,18,nov,89,2,162,12,failure,no
16,34168,34,management,married,tertiary,no,3047,no,no,cellular,30,apr,317,1,160,5,other,yes
17,15141,35,blue-collar,married,primary,no,-35,yes,no,cellular,17,jul,123,2,-1,0,unknown,no
18,13677,41,blue-collar,married,unknown,no,2113,yes,no,telephone,9,jul,20,5,-1,0,unknown,no
19,37931,43,blue-collar,married,primary,no,479,yes,no,cellular,14,may,293,2,370,2,failure,no
20,40954,52,technician,married,tertiary,no,1785,no,no,cellular,13,aug,349,1,-1,0,unknown,no
21,1537,36,technician,married,secondary,no,195,yes,no,unknown,8,may,380,2,-1,0,unknown,no
22,42404,39,technician,married,secondary,no,2983,no,no,cellular,3,dec,472,1,-1,0,unknown,yes
23,6199,42,admin.,married,secondary,no,818,yes,no,unknown,27,may,255,1,-1,0,unknown,no
24,25874,42,services,single,secondary,no,2628,yes,no,cellular,19,nov,146,1,-1,0,unknown,no
25,42420,73,retired,divorced,primary,no,5028,no,no,cellular,4,dec,696,10,-1,0,unknown,yes
26,35234,27,technician,single,secondary,no,-211,yes,no,cellular,7,may,146,1,349,3,failure,no
27,23166,32,technician,married,secondary,no,485,no,no,cellular,26,aug,98,14,-1,0,unknown,no
28,23643,54,management,married,tertiary,no,1258,no,no,cellular,28,aug,153,14,-1,0,unknown,no
29,31386,41,management,single,tertiary,no,120,no,yes,cellular,24,mar,81,1,49,3,other,no
30,32437,33,technician,married,tertiary,no,67,yes,no,cellular,16,apr,137,2,-1,0,unknown,no
31,25663,47,management,married,unknown,no,4189,yes,no,cellular,19,nov,489,3,-1,0,unknown,yes
32,31937,25,management,single,tertiary,no,565,yes,no,cellular,9,apr,175,1,-1,0,unknown,no
33,22015,48,blue-collar,married,secondary,no,1143,yes,no,cellular,20,aug,93,3,-1,0,unknown,no
34,35142,36,blue-collar,married,secondary,no,975,yes,no,cellular,7,may,186,2,295,1,failure,no
35,37635,47,admin.,divorced,secondary,no,980,yes,no,cellular,14,may,158,1,-1,0,unknown,no
36,35961,51,management,married,tertiary,no,257,yes,no,cellular,8,may,129,2,-1,0,unknown,no
37,6617,59,management,single,tertiary,no,68,yes,no,unknown,28,may,176,2,-1,0,unknown,no
38,38834,23,admin.,married,secondary,no,349,yes,no,cellular,18,may,108,1,-1,0,unknown,no
39,22499,38,self-employed,married,tertiary,no,656,yes,no,cellular,22,aug,508,7,-1,0,unknown,no
40,20896,37,management,married,tertiary,no,887,no,no,cellular,13,aug,257,5,-1,0,unknown,no
41,2832,39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,1,-1,0,unknown,yes
42,3809,29,blue-collar,single,primary,no,105,yes,no,unknown,16,may,326,1,-1,0,unknown,no
43,38448,30,services,single,tertiary,no,717,yes,yes,cellular,15,may,116,1,-1,0,unknown,no
44,30792,19,student,single,unknown,no,1169,no,no,cellular,6,feb,463,18,-1,0,unknown,no
45,31341,56,management,married,secondary,no,1928,no,no,cellular,16,mar,61,6,115,4,failure,no
46,4515,31,admin.,single,secondary,no,2144,yes,no,unknown,20,may,89,1,-1,0,unknown,no
47,21036,59,management,married,tertiary,no,1857,no,no,cellular,14,aug,128,4,-1,0,unknown,no
48,35052,33,admin.,married,secondary,no,519,yes,no,telephone,6,may,175,1,-1,0,unknown,no
49,34228,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure,no
50,44481,79,retired,divorced,secondary,no,631,no,no,telephone,9,aug,440,5,182,3,failure,no
51,28528,44,management,married,secondary,no,488,no,yes,cellular,29,jan,138,2,183,11,failure,no
52,19887,33,management,married,tertiary,no,1047,no,no,cellular,8,aug,512,4,-1,0,unknown,yes
53,938,52,admin.,married,secondary,no,31,yes,no,unknown,7,may,120,1,-1,0,unknown,no
54,14006,25,student,single,tertiary,no,-113,no,no,cellular,10,jul,300,3,-1,0,unknown,no
55,691,29,student,single,secondary,no,948,yes,no,unknown,6,may,75,2,-1,0,unknown,no
56,29565,46,management,married,tertiary,no,-319,yes,no,cellular,3,feb,80,1,256,1,failure,no
57,41104,57,management,married,secondary,no,139,no,no,cellular,17,aug,80,1,-1,0,unknown,no
58,16280,28,admin.,single,tertiary,no,1773,yes,no,cellular,23,jul,275,1,-1,0,unknown,no
59,24392,48,blue-collar,married,secondary,no,1039,yes,no,cellular,17,nov,581,1,-1,0,unknown,no
60,28019,55,blue-collar,divorced,primary,no,962,no,yes,telephone,28,jan,88,2,-1,0,unknown,no
61,44598,29,student,single,secondary,no,1124,no,no,unknown,24,aug,26,1,-1,0,unknown,no
62,23650,48,housemaid,married,primary,no,0,no,no,cellular,28,aug,20,23,-1,0,unknown,no
63,9839,45,technician,married,primary,no,-322,no,no,unknown,9,jun,225,2,-1,0,unknown,no
64,338,53,technician,married,secondary,no,56,yes,yes,unknown,5,may,152,2,-1,0,unknown,no
65,3297,60,entrepreneur,divorced,secondary,no,80,yes,no,unknown,15,may,397,1,-1,0,unknown,no
66,3118,57,technician,single,secondary,no,5961,yes,no,unknown,14,may,166,3,-1,0,unknown,no
67,35674,34,technician,married,secondary,no,1234,yes,no,cellular,8,may,106,1,288,6,failure,no
68,35652,29,admin.,divorced,secondary,no,883,no,yes,cellular,8,may,85,1,-1,0,unknown,no
69,13410,46,entrepreneur,married,secondary,no,118,yes,no,cellular,9,jul,296,1,-1,0,unknown,no
70,7266,39,technician,single,secondary,no,822,yes,yes,unknown,29,may,164,3,-1,0,unknown,no
71,20789,34,technician,married,tertiary,no,8463,no,no,cellular,13,aug,80,2,-1,0,unknown,no
72,7534,37,self-employed,divorced,tertiary,no,601,yes,no,unknown,30,may,422,1,-1,0,unknown,no
73,5114,38,blue-collar,single,secondary,no,578,yes,no,unknown,21,may,112,2,-1,0,unknown,no
74,15642,33,management,married,tertiary,no,78,yes,no,cellular,21,jul,856,1,-1,0,unknown,no
75,27427,45,technician,married,secondary,no,2403,no,no,cellular,21,nov,207,1,-1,0,unknown,no
76,33118,32,blue-collar,single,secondary,no,395,yes,yes,cellular,20,apr,339,1,-1,0,unknown,no
77,36691,56,blue-collar,married,primary,no,351,yes,no,telephone,12,may,179,4,-1,0,unknown,no
78,5006,30,technician,divorced,secondary,no,3100,yes,no,unknown,21,may,154,4,-1,0,unknown,no
79,37431,35,technician,married,secondary,no,712,yes,yes,cellular,13,may,255,2,264,5,failure,no
80,44648,30,self-employed,married,tertiary,no,805,yes,no,unknown,1,sep,20,1,478,2,other,no
81,37052,27,management,single,tertiary,no,321,yes,no,cellular,13,may,173,2,307,1,other,no
82,17259,53,admin.,married,secondary,no,673,no,yes,telephone,28,jul,137,2,-1,0,unknown,no
83,14041,36,technician,married,secondary,no,-456,yes,no,cellular,11,jul,252,1,-1,0,unknown,no
84,15053,45,management,married,tertiary,no,668,no,yes,cellular,17,jul,391,2,-1,0,unknown,no
85,25403,55,management,divorced,secondary,no,1526,yes,no,cellular,18,nov,105,1,-1,0,unknown,no
86,3008,30,blue-collar,married,secondary,no,128,yes,no,unknown,14,may,273,1,-1,0,unknown,no
87,43547,41,admin.,divorced,secondary,no,3823,no,no,cellular,26,apr,234,10,-1,0,unknown,no
88,29435,31,admin.,single,secondary,no,8626,no,no,cellular,3,feb,155,1,-1,0,unknown,no
89,25311,40,self-employed,married,tertiary,no,642,no,no,cellular,18,nov,147,3,-1,0,unknown,no
90,4770,36,technician,married,secondary,no,8119,no,no,unknown,21,may,24,1,-1,0,unknown,no
91,40319,27,technician,single,secondary,no,2731,no,no,telephone,16,jun,30,1,-1,0,unknown,no
92,34402,56,admin.,married,primary,no,2086,yes,no,cellular,5,may,159,8,-1,0,unknown,no
93,11693,48,self-employed,divorced,secondary,yes,7,no,no,unknown,20,jun,633,2,-1,0,unknown,no
94,25941,42,management,single,tertiary,no,515,yes,no,cellular,19,nov,501,2,-1,0,unknown,no
95,31998,37,blue-collar,married,unknown,no,897,yes,no,cellular,13,apr,119,2,280,2,failure,no
96,12310,38,services,married,secondary,no,-140,no,no,unknown,25,jun,456,3,-1,0,unknown,no
97,28721,29,blue-collar,single,secondary,no,202,no,no,cellular,30,jan,128,2,-1,0,unknown,no
98,40376,68,retired,married,secondary,no,0,no,no,cellular,22,jun,586,1,-1,0,unknown,yes
99,22281,35,unknown,married,primary,no,4144,no,no,cellular,21,aug,310,3,-1,0,unknown,no
100,16729,45,admin.,divorced,secondary,no,59,yes,no,cellular,24,jul,873,8,-1,0,unknown,yes
101,19772,41,technician,married,secondary,no,2123,no,no,cellular,8,aug,130,2,-1,0,unknown,no
102,9619,43,management,divorced,secondary,no,311,no,no,unknown,6,jun,92,1,-1,0,unknown,no
103,43230,46,admin.,married,secondary,no,0,yes,no,cellular,5,mar,135,1,-1,0,unknown,no
104,25209,36,blue-collar,married,secondary,no,801,yes,yes,cellular,18,nov,250,2,-1,0,unknown,no
105,4886,34,technician,married,secondary,no,883,yes,no,unknown,21,may,648,1,-1,0,unknown,no
106,1278,52,technician,married,secondary,no,291,no,no,unknown,8,may,143,1,-1,0,unknown,no
107,38543,31,technician,married,secondary,no,84,no,no,cellular,15,may,264,2,-1,0,unknown,no
108,37018,50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes
109,30957,45,blue-collar,married,secondary,no,4365,no,yes,cellular,9,feb,45,2,-1,0,unknown,no
110,4451,32,unemployed,married,secondary,no,93,yes,no,unknown,20,may,203,2,-1,0,unknown,no
111,43429,37,admin.,married,secondary,no,0,yes,no,cellular,8,apr,208,3,349,2,failure,no
112,34623,54,entrepreneur,married,secondary,no,0,yes,no,cellular,5,may,387,2,287,1,failure,no
113,1261,60,retired,married,primary,no,-2,yes,no,unknown,8,may,75,1,-1,0,unknown,no
114,26865,38,management,married,tertiary,no,1021,no,no,cellular,20,nov,87,3,-1,0,unknown,no
115,15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
116,23599,36,technician,married,tertiary,no,837,no,no,cellular,28,aug,68,6,-1,0,unknown,no
117,25310,40,technician,single,secondary,no,1411,yes,yes,cellular,18,nov,93,3,-1,0,unknown,no
118,6175,36,blue-collar,married,unknown,no,-417,yes,no,unknown,27,may,597,3,-1,0,unknown,no
119,37914,40,management,single,tertiary,no,2258,yes,no,cellular,14,may,115,3,287,2,failure,no
120,21574,48,technician,married,tertiary,no,0,no,no,cellular,19,aug,58,2,-1,0,unknown,no
121,13294,57,management,married,tertiary,no,5,yes,no,cellular,8,jul,96,1,-1,0,unknown,no
122,27748,28,housemaid,married,primary,no,5,no,no,cellular,28,jan,30,1,-1,0,unknown,no
123,39203,27,unemployed,single,secondary,no,259,yes,no,cellular,18,may,12,2,-1,0,unknown,no
