,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
18,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
34,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
40,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
48,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
52,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
57,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
61,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
66,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
68,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
72,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
76,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
96,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
103,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
110,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
112,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
121,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
123,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
130,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
138,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
139,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
149,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
150,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
151,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
154,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
157,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
