y,probyes
0,1
1,0.999999997
0,0.9999999946
1,0.9999999912
0,0.99999991
1,0.9999998184
1,0.9999997353
0,0.9999996763
1,0.9999982061
1,0.9999963919
0,0.9999962215
0,0.9999959227
0,0.9999932806
1,0.9999914879
1,0.9999894696
0,0.9999839539
1,0.9999782367
1,0.9999778608
0,0.9999738842
1,0.9999732769
0,0.999966832
0,0.9999618576
1,0.9999610006
0,0.9999590757
0,0.999953688
1,0.9999502699
0,0.9999435518
0,0.9999361881
1,0.9999352821
0,0.9999223928
1,0.9999200418
0,0.9999157185
1,0.9999116831
0,0.9999101683
1,0.9998832657
1,0.9998646039
0,0.9998620173
1,0.9998600705
0,0.9998562144
0,0.9998536618
0,0.9998493238
0,0.9998448868
0,0.9998443528
1,0.999842476
0,0.999824567
1,0.9998191189
1,0.9998113333
0,0.9997963741
0,0.9997762193
0,0.9997530362
0,0.9997410207
1,0.9997357939
1,0.9997321628
1,0.9997198636
1,0.9997138463
1,0.9997117046
0,0.9997102515
0,0.9996997275
1,0.9996899567
1,0.9996822892
0,0.9996753979
0,0.9996337622
0,0.9996297308
1,0.9996211295
1,0.9996161915
0,0.9995945919
1,0.9995573325
0,0.999533992
1,0.9995277922
1,0.9994748786
1,0.9994694807
1,0.9994628919
0,0.9994105163
1,0.9994064661
0,0.9993936482
0,0.999391938
0,0.9993565015
1,0.999346846
1,0.9993390067
0,0.9993085015
0,0.9992674477
1,0.9992570511
0,0.9992488931
1,0.9990544147
0,0.9990425671
1,0.9990299006
0,0.9989983733
1,0.9989860111
1,0.9989645546
1,0.9989439112
0,0.9989143425
0,0.9988912967
1,0.998875271
1,0.9988586022
1,0.9988559658
1,0.9987937956
1,0.9987548334
1,0.9986763906
1,0.9986752729
0,0.9986580633
1,0.9986084993
0,0.9985900896
1,0.9985875903
1,0.9985709898
1,0.9985648997
0,0.9984282101
0,0.9984250214
1,0.9983857006
1,0.9983589703
1,0.9983481243
1,0.9983107632
1,0.998267125
1,0.9982613855
0,0.998239758
0,0.9982359427
1,0.9982297661
1,0.9981731617
0,0.998103803
0,0.9980800528
0,0.9980247955
1,0.998003141
1,0.9979720588
1,0.9979639945
0,0.9978443113
0,0.997802189
0,0.9977957551
1,0.9977890778
1,0.9977751042
1,0.9977573238
1,0.9977516411
0,0.9977274623
0,0.9976850501
1,0.9976829114
1,0.9976731479
1,0.9976491751
0,0.997606522
1,0.9975953079
1,0.9975189354
1,0.9974632344
0,0.9973944283
1,0.9973794352
1,0.9973035078
0,0.9972661625
1,0.9972654448
0,0.9972632361
1,0.9972213845
0,0.9971761657
0,0.9971504535
0,0.9970520589
0,0.9970378642
1,0.9970368351
0,0.9970090834
0,0.996990097
0,0.9969881285
1,0.9969830849
0,0.9969698754
0,0.996965294
0,0.9968602957
1,0.9968477602
0,0.9968191046
1,0.9965636057
1,0.9965584457
0,0.9965239528
1,0.9964695365
0,0.9964384623
1,0.9963695673
0,0.9963418235
0,0.9962833153
0,0.9962076408
0,0.9961800603
1,0.9961702483
0,0.9961336865
1,0.9961310004
0,0.9960858545
1,0.9960530603
0,0.9959889607
1,0.9959830399
1,0.9959731305
0,0.9959275097
1,0.9959067836
0,0.995885569
1,0.9958832122
1,0.9957854827
0,0.9957590136
0,0.9957277787
1,0.9957264215
0,0.9957137645
1,0.9957105257
1,0.995678949
0,0.9955925948
1,0.9955265791
0,0.9953833334
0,0.995378101
1,0.9953042125
1,0.9952735743
1,0.9950959521
0,0.9949917515
1,0.994949442
1,0.9948247585
0,0.9948218282
0,0.9946689842
1,0.9946655194
1,0.9946313282
1,0.9945228359
1,0.9945144267
0,0.9944873592
0,0.9944703227
1,0.9943135769
1,0.9942579226
1,0.9942127845
0,0.9942072215
1,0.9939573726
0,0.9937874061
1,0.9937844456
0,0.9937384918
1,0.9936604691
0,0.9935723942
1,0.9935418661
0,0.9935296185
1,0.9935167552
1,0.993501052
0,0.9934944163
1,0.9934844126
0,0.9934324108
0,0.9933998888
1,0.9933205369
0,0.9932797087
1,0.9932213057
0,0.9930892914
1,0.9930603273
1,0.9930086937
1,0.9928921864
0,0.9928665962
1,0.9928073203
0,0.9927352145
1,0.9927317721
1,0.9927301802
1,0.992662732
1,0.9926392305
0,0.9923570552
0,0.9923055578
1,0.9922985393
1,0.9921827928
1,0.992147749
0,0.9920830359
0,0.9920649034
0,0.9920611947
1,0.9919960504
1,0.9919600646
1,0.9916937163
0,0.9915397876
1,0.9914633676
1,0.9914321747
1,0.9914138805
1,0.9913411328
0,0.9913307315
0,0.9912505805
0,0.9912440439
0,0.9910029325
1,0.990922616
0,0.9909111961
0,0.9908861427
1,0.9907506096
1,0.9907233349
1,0.9906621729
0,0.9905703098
0,0.9905224154
1,0.9904830902
1,0.9903873139
1,0.9903551164
1,0.9903121474
1,0.9902541126
0,0.9902507439
0,0.9901985991
0,0.9901556201
0,0.9901073038
1,0.9900649516
1,0.9900498651
0,0.9899855371
1,0.9898753923
0,0.9898041104
1,0.9897056482
0,0.9896939005
0,0.9895871251
1,0.989431788
1,0.9894064511
0,0.9893744774
1,0.9892949762
0,0.9891299541
0,0.9891004609
1,0.9889815006
0,0.9888673658
0,0.9888393756
0,0.9888304704
1,0.9887902091
0,0.9887796255
0,0.9886485363
1,0.9885665015
1,0.9883582401
1,0.98824655
0,0.987867843
0,0.9878189552
1,0.9876722732
0,0.9876167015
0,0.9875741377
0,0.9873956521
0,0.9873041101
1,0.9872828086
1,0.9872735067
1,0.9872583047
1,0.9872202818
0,0.9870810892
1,0.9869689087
1,0.9868585324
1,0.9867236899
1,0.9867153898
0,0.9866476159
0,0.9865152584
0,0.9863173695
1,0.9863047591
1,0.9862357341
1,0.9861995266
0,0.986122703
1,0.9860647222
0,0.985980014
1,0.9859759742
0,0.9859732002
0,0.9859632723
0,0.9858339406
1,0.9858267298
0,0.9857017067
0,0.9855500705
1,0.9855448289
1,0.9855270188
0,0.9854568407
1,0.985450218
1,0.9853979408
1,0.9853862208
1,0.9853791889
1,0.9853750852
0,0.9853622971
1,0.9852840089
0,0.9852472076
1,0.9852140104
1,0.9851159063
0,0.9848778609
0,0.9847061939
1,0.9847014282
1,0.9846494895
0,0.9846145017
1,0.9845015187
1,0.9844645778
0,0.9844525644
0,0.9844268084
0,0.9843595851
1,0.9843227188
1,0.9843108568
1,0.9842941294
0,0.984215891
0,0.9841874275
0,0.9839997957
0,0.9839186721
0,0.9838239625
1,0.9837602008
1,0.9837447255
0,0.9835961091
1,0.9835261314
1,0.9834344313
1,0.9834212173
0,0.9832009172
1,0.98303913
1,0.9828295293
0,0.9827591956
1,0.9826825285
0,0.9826401106
0,0.9825887377
1,0.9825813728
1,0.9825464714
1,0.982455763
0,0.9824205039
1,0.98236402
1,0.9823438043
0,0.9821234252
0,0.9821229968
1,0.9818874141
1,0.9816961065
1,0.9816694468
0,0.9815585352
0,0.9813932751
0,0.9813730097
1,0.9812703541
0,0.9810323921
1,0.9810042403
1,0.9809984551
0,0.9809917098
0,0.9809170157
0,0.9808682108
1,0.9808371174
0,0.9808109589
1,0.9807860846
1,0.9807502997
1,0.9806920317
0,0.9806544512
1,0.9805677827
1,0.9805328401
1,0.9804229942
1,0.9803163426
1,0.980270895
1,0.9801938721
0,0.9800701121
1,0.9799513282
0,0.9799125876
0,0.9798799927
1,0.9796902304
1,0.9796339523
0,0.9796290797
0,0.9795256031
0,0.9795150433
1,0.9794720997
1,0.9793694306
1,0.9793418409
1,0.9790581523
1,0.9790572132
0,0.9790560198
1,0.9790522957
0,0.9788767084
0,0.9788201653
0,0.9787587429
0,0.9785337092
0,0.9784326382
1,0.9782849326
0,0.9781410835
1,0.9780690374
0,0.9780353528
1,0.9778819816
1,0.9778049126
1,0.9777660711
0,0.9774208544
0,0.9774032142
0,0.9772401765
0,0.9772240813
0,0.9771486323
1,0.9769628388
1,0.9769400828
1,0.9768129263
1,0.9767410735
1,0.9767242244
1,0.9766973422
0,0.9765315616
1,0.9763497411
1,0.9760898923
1,0.9759763971
1,0.9759336546
0,0.9759325648
1,0.975927519
0,0.9758611845
1,0.9758490831
0,0.9758385037
1,0.9757552006
0,0.9757132166
1,0.9757128043
0,0.9756664994
1,0.9754159467
0,0.9754115485
0,0.974954675
1,0.9748351991
1,0.974821389
1,0.9747437558
1,0.9746822354
0,0.9745718149
0,0.974549482
1,0.9744100272
1,0.9743514442
1,0.9743111134
0,0.9742902811
0,0.9742731221
1,0.9737730408
1,0.9737672428
0,0.9737174155
1,0.9737109809
1,0.9735200609
1,0.9734573671
1,0.9734128065
1,0.9732914959
0,0.9732738343
1,0.9731925938
0,0.9729689509
1,0.9727994301
1,0.9726928769
0,0.9726704926
0,0.9726220014
0,0.9724989979
1,0.9724618144
1,0.9724233539
0,0.9722645457
0,0.9722284853
1,0.9721791133
0,0.9720778605
1,0.9715157506
1,0.9714495156
1,0.9713880565
0,0.9713784996
1,0.9713525654
1,0.9713201628
0,0.971104264
1,0.9710424101
0,0.9709245278
1,0.970902811
1,0.9708313425
0,0.9707108984
0,0.9706939941
1,0.9705759017
0,0.9703093455
1,0.9698401472
1,0.9698228907
0,0.9697971314
0,0.9693876007
1,0.9692121084
0,0.9691469787
1,0.9691053351
0,0.969065244
0,0.9689501744
1,0.9686933874
0,0.9685283618
0,0.9685104827
0,0.9684619304
1,0.9683274338
0,0.9681920436
1,0.9680842654
1,0.9679871925
0,0.9678101202
0,0.9677784218
0,0.9677755279
1,0.9676560401
0,0.967621883
1,0.9674511974
1,0.9673133959
0,0.9671537978
0,0.9671267085
1,0.9671098415
1,0.9670866453
1,0.9670019805
1,0.9669946343
0,0.9668743615
1,0.9668546263
0,0.9667745572
1,0.9667659861
0,0.9666610844
0,0.966656482
1,0.9665809386
1,0.9665525591
1,0.9664106112
1,0.9663985011
1,0.9662416577
0,0.9662335608
0,0.9662313291
0,0.9658266016
0,0.9656447643
1,0.9655742443
0,0.9655339739
0,0.9655337343
1,0.965402123
1,0.9653442126
0,0.9652553006
1,0.9652226806
1,0.9651402177
1,0.9649801335
1,0.9649633613
1,0.9649017835
0,0.9648564421
1,0.9648182412
0,0.9644881739
0,0.9644400476
0,0.9644261691
1,0.9644199999
1,0.964368974
0,0.964272809
1,0.9642534702
0,0.9642106699
1,0.9641449146
1,0.9640600606
0,0.9635639223
0,0.9632905265
1,0.9631249719
0,0.9627959617
0,0.9627748652
1,0.9625726492
1,0.9624427519
1,0.9621718668
0,0.9620407502
0,0.9618617935
0,0.9618187843
1,0.9618179617
1,0.9616824173
1,0.9616651828
1,0.9613641774
0,0.9613543481
0,0.961042061
1,0.9609847971
0,0.9609764953
0,0.9608666427
1,0.9607598868
0,0.9607514109
1,0.9607076913
0,0.9604444222
0,0.9603834016
1,0.9603030442
0,0.9602666454
1,0.9602638829
0,0.9602367061
1,0.9599379367
1,0.9598614372
1,0.959830681
0,0.9597810922
1,0.9597414839
1,0.9594886226
1,0.9594752258
1,0.9593506811
0,0.9592813425
1,0.9591687772
1,0.9591583348
1,0.9589660303
1,0.9587142872
0,0.958684401
1,0.9586823888
1,0.9586344494
1,0.9586312769
1,0.9586199572
0,0.958612261
1,0.9585654353
1,0.9584727144
0,0.9583166785
1,0.9582827433
0,0.9581564416
0,0.9580569067
0,0.9578208527
0,0.9576553472
0,0.9576338334
1,0.9574726273
0,0.9573862849
1,0.9573302099
0,0.9571885416
0,0.9571730654
0,0.9571030936
1,0.9569199035
1,0.9565327481
0,0.9560353926
0,0.9559716789
1,0.9559381969
1,0.9557553623
1,0.9556983328
0,0.9554572236
1,0.9553452454
0,0.9551160851
1,0.9544271686
1,0.9544202522
1,0.9539660888
0,0.9535780026
1,0.9535055369
0,0.9532431124
1,0.953226235
1,0.9529398045
1,0.9529284214
1,0.9528346738
1,0.9523129846
0,0.952264442
0,0.9522635783
1,0.95221102
0,0.952083517
1,0.9519423251
0,0.9516869299
1,0.9515808105
1,0.9515037245
1,0.9512428064
0,0.951033421
0,0.9509192011
1,0.9506310808
0,0.9503548151
1,0.9502721368
1,0.9500507825
