y,probyes,cum,obs
0,1,0,1
1,0.999999997,1,2
0,0.999999995,1,3
1,0.999999991,2,4
0,0.99999991,2,5
1,0.999999818,3,6
1,0.999999735,4,7
0,0.999999676,4,8
1,0.999998206,5,9
1,0.999996392,6,10
0,0.999996222,6,11
0,0.999995923,6,12
0,0.999993281,6,13
1,0.999991488,7,14
1,0.99998947,8,15
0,0.999983954,8,16
1,0.999978237,9,17
1,0.999977861,10,18
0,0.999973884,10,19
1,0.999973277,11,20
0,0.999966832,11,21
0,0.999961858,11,22
1,0.999961001,12,23
0,0.999959076,12,24
0,0.999953688,12,25
1,0.99995027,13,26
0,0.999943552,13,27
0,0.999936188,13,28
1,0.999935282,14,29
0,0.999922393,14,30
1,0.999920042,15,31
0,0.999915719,15,32
1,0.999911683,16,33
0,0.999910168,16,34
1,0.999883266,17,35
1,0.999864604,18,36
0,0.999862017,18,37
1,0.999860071,19,38
0,0.999856214,19,39
0,0.999853662,19,40
0,0.999849324,19,41
0,0.999844887,19,42
0,0.999844353,19,43
1,0.999842476,20,44
0,0.999824567,20,45
1,0.999819119,21,46
1,0.999811333,22,47
0,0.999796374,22,48
0,0.999776219,22,49
0,0.999753036,22,50
0,0.999741021,22,51
1,0.999735794,23,52
1,0.999732163,24,53
1,0.999719864,25,54
1,0.999713846,26,55
1,0.999711705,27,56
0,0.999710252,27,57
0,0.999699728,27,58
1,0.999689957,28,59
1,0.999682289,29,60
0,0.999675398,29,61
0,0.999633762,29,62
0,0.999629731,29,63
1,0.99962113,30,64
1,0.999616192,31,65
0,0.999594592,31,66
1,0.999557333,32,67
0,0.999533992,32,68
1,0.999527792,33,69
1,0.999474879,34,70
1,0.999469481,35,71
1,0.999462892,36,72
0,0.999410516,36,73
1,0.999406466,37,74
0,0.999393648,37,75
0,0.999391938,37,76
0,0.999356502,37,77
1,0.999346846,38,78
1,0.999339007,39,79
0,0.999308502,39,80
0,0.999267448,39,81
1,0.999257051,40,82
0,0.999248893,40,83
1,0.999054415,41,84
0,0.999042567,41,85
1,0.999029901,42,86
0,0.998998373,42,87
1,0.998986011,43,88
1,0.998964555,44,89
1,0.998943911,45,90
0,0.998914343,45,91
0,0.998891297,45,92
1,0.998875271,46,93
1,0.998858602,47,94
1,0.998855966,48,95
1,0.998793796,49,96
1,0.998754833,50,97
1,0.998676391,51,98
1,0.998675273,52,99
0,0.998658063,52,100
1,0.998608499,53,101
0,0.99859009,53,102
1,0.99858759,54,103
1,0.99857099,55,104
1,0.9985649,56,105
0,0.99842821,56,106
0,0.998425021,56,107
1,0.998385701,57,108
1,0.99835897,58,109
1,0.998348124,59,110
1,0.998310763,60,111
1,0.998267125,61,112
1,0.998261386,62,113
0,0.998239758,62,114
0,0.998235943,62,115
1,0.998229766,63,116
1,0.998173162,64,117
0,0.998103803,64,118
0,0.998080053,64,119
0,0.998024796,64,120
1,0.998003141,65,121
1,0.997972059,66,122
1,0.997963995,67,123
0,0.997844311,67,124
0,0.997802189,67,125
0,0.997795755,67,126
1,0.997789078,68,127
1,0.997775104,69,128
1,0.997757324,70,129
1,0.997751641,71,130
0,0.997727462,71,131
0,0.99768505,71,132
1,0.997682911,72,133
1,0.997673148,73,134
1,0.997649175,74,135
0,0.997606522,74,136
1,0.997595308,75,137
1,0.997518935,76,138
1,0.997463234,77,139
0,0.997394428,77,140
1,0.997379435,78,141
1,0.997303508,79,142
0,0.997266163,79,143
1,0.997265445,80,144
0,0.997263236,80,145
1,0.997221385,81,146
0,0.997176166,81,147
0,0.997150454,81,148
0,0.997052059,81,149
0,0.997037864,81,150
1,0.997036835,82,151
0,0.997009083,82,152
0,0.996990097,82,153
0,0.996988129,82,154
1,0.996983085,83,155
0,0.996969875,83,156
0,0.996965294,83,157
0,0.996860296,83,158
1,0.99684776,84,159
0,0.996819105,84,160
1,0.996563606,85,161
1,0.996558446,86,162
0,0.996523953,86,163
1,0.996469537,87,164
0,0.996438462,87,165
1,0.996369567,88,166
0,0.996341824,88,167
0,0.996283315,88,168
0,0.996207641,88,169
0,0.99618006,88,170
1,0.996170248,89,171
0,0.996133687,89,172
1,0.996131,90,173
0,0.996085855,90,174
1,0.99605306,91,175
0,0.995988961,91,176
1,0.99598304,92,177
1,0.995973131,93,178
0,0.99592751,93,179
1,0.995906784,94,180
0,0.995885569,94,181
1,0.995883212,95,182
1,0.995785483,96,183
0,0.995759014,96,184
0,0.995727779,96,185
1,0.995726422,97,186
0,0.995713765,97,187
1,0.995710526,98,188
