,X,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
27041,14119,35,services,single,primary,no,167,no,yes,cellular,11,jul,614,2,-1,0,unknown,yes
4832,43717,50,admin.,married,secondary,no,3608,yes,no,cellular,14,may,196,8,182,4,success,yes
2946,42657,70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196,2,success,yes
26405,6313,24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,may,935,1,-1,0,unknown,yes
26461,36753,47,services,married,secondary,no,367,yes,no,cellular,12,may,309,1,306,4,success,yes
15698,44257,27,admin.,married,tertiary,no,2855,no,no,cellular,22,jul,138,2,178,4,success,yes
18696,24159,34,management,married,tertiary,no,676,no,no,telephone,11,nov,486,1,-1,0,unknown,yes
15919,44402,62,retired,married,secondary,no,569,no,no,cellular,4,aug,288,1,1,8,success,yes
10146,42072,62,management,married,tertiary,no,7458,no,no,cellular,30,oct,212,2,-1,0,unknown,yes
8440,42112,35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,yes
16080,43326,35,admin.,married,secondary,no,304,no,no,cellular,18,mar,237,1,-1,0,unknown,yes
21489,31454,30,admin.,single,tertiary,no,311,no,no,cellular,31,mar,158,2,-1,0,unknown,yes
26745,22279,34,self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
17661,24109,42,technician,divorced,secondary,no,314,yes,no,unknown,30,oct,234,1,-1,0,unknown,yes
26346,20860,35,management,divorced,tertiary,no,434,yes,no,cellular,13,aug,1314,2,-1,0,unknown,yes
6876,44057,32,management,single,tertiary,no,12569,no,no,cellular,1,jul,561,2,295,2,success,yes
19032,38950,57,admin.,married,secondary,no,403,yes,no,cellular,18,may,603,1,340,2,other,yes
9445,7669,42,unemployed,divorced,secondary,no,1713,yes,no,unknown,30,may,855,2,-1,0,unknown,yes
15750,15109,31,blue-collar,divorced,secondary,no,-277,yes,no,telephone,17,jul,1008,2,-1,0,unknown,yes
18641,36453,37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,2,-1,0,unknown,yes
26544,37888,37,services,married,secondary,no,6089,yes,no,cellular,14,may,616,2,-1,0,unknown,yes
26522,43671,44,services,single,secondary,no,618,no,no,cellular,12,may,193,1,-1,0,unknown,yes
25075,31091,21,blue-collar,single,secondary,no,2265,no,no,cellular,17,feb,92,2,-1,0,unknown,yes
23003,40412,32,services,single,secondary,no,2881,no,no,cellular,2,jul,356,1,-1,0,unknown,yes
123,42286,62,retired,divorced,tertiary,no,0,no,no,cellular,13,nov,227,2,-1,0,unknown,yes
5540,43214,73,retired,single,secondary,no,1050,no,no,cellular,4,mar,562,3,181,2,failure,yes
7740,43757,37,management,married,tertiary,no,3236,no,no,cellular,20,may,291,2,202,5,other,yes
26905,18082,54,technician,married,secondary,no,114,no,no,cellular,30,jul,458,3,-1,0,unknown,yes
25916,42545,35,management,single,tertiary,no,538,no,no,cellular,22,dec,410,3,165,2,other,yes
12041,33781,76,management,married,unknown,no,1780,yes,no,telephone,23,apr,413,3,-1,0,unknown,yes
11812,33394,28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,205,1,82,1,failure,yes
19612,16524,38,entrepreneur,married,tertiary,no,0,no,no,cellular,23,jul,532,2,-1,0,unknown,yes
15927,43800,27,blue-collar,single,tertiary,no,567,no,no,cellular,26,may,523,3,182,3,success,yes
10271,28936,45,unemployed,married,secondary,no,2040,no,no,telephone,2,feb,803,1,-1,0,unknown,yes
1405,15714,39,management,married,tertiary,no,1423,yes,no,telephone,21,jul,733,3,-1,0,unknown,yes
24698,42934,67,retired,divorced,secondary,no,704,no,no,cellular,8,feb,186,2,97,1,success,yes
9040,43413,53,technician,married,tertiary,no,9001,no,no,cellular,5,apr,170,1,-1,0,unknown,yes
12573,41958,61,retired,married,secondary,no,86,no,no,cellular,23,oct,149,1,-1,0,unknown,yes
8839,42460,80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,yes
5855,12535,29,services,single,secondary,no,84,no,yes,unknown,3,jul,587,3,-1,0,unknown,yes
2529,33791,28,blue-collar,single,tertiary,no,4099,no,no,cellular,23,apr,116,4,-1,0,unknown,yes
15491,44820,58,management,divorced,unknown,no,2986,no,no,cellular,16,sep,414,1,91,5,other,yes
23711,43894,80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes
3828,42039,36,management,married,tertiary,no,203,no,no,cellular,29,oct,139,1,-1,0,unknown,yes
19080,29500,56,management,married,primary,no,0,no,no,cellular,3,feb,996,1,-1,0,unknown,yes
13884,41715,25,admin.,single,tertiary,no,1185,no,no,cellular,7,oct,290,1,114,1,failure,yes
17557,41021,45,management,single,tertiary,no,2067,yes,no,cellular,13,aug,393,2,462,1,success,yes
18767,29748,30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,unknown,yes
10681,45156,44,entrepreneur,married,tertiary,no,121,no,no,cellular,9,nov,248,1,91,1,success,yes
9812,26683,32,blue-collar,single,primary,no,121,yes,no,cellular,20,nov,758,1,-1,0,unknown,yes
3797,42993,30,admin.,single,secondary,no,4448,no,no,cellular,11,feb,112,8,-1,0,unknown,yes
13154,43513,24,admin.,single,secondary,no,1295,no,no,cellular,21,apr,476,1,-1,0,unknown,yes
23459,41562,74,retired,married,primary,no,1765,no,no,telephone,11,sep,290,2,-1,0,unknown,yes
23531,40061,27,management,married,secondary,no,2071,no,no,cellular,4,jun,449,1,-1,0,unknown,yes
26895,42218,32,technician,single,tertiary,no,6746,no,no,cellular,11,nov,199,1,-1,0,unknown,yes
1824,33489,49,technician,married,tertiary,no,2611,no,no,cellular,20,apr,194,2,-1,0,unknown,yes
14054,43176,37,management,married,tertiary,no,1113,no,no,cellular,2,mar,229,1,182,1,success,yes
11397,36835,37,admin.,single,primary,no,912,yes,no,cellular,12,may,637,3,328,22,other,yes
17,40680,65,unknown,married,unknown,no,4717,no,no,telephone,6,aug,256,1,-1,0,unknown,yes
15212,42749,61,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
5134,31036,40,technician,divorced,tertiary,no,4736,yes,no,cellular,11,feb,285,2,-1,0,unknown,yes
21307,11726,44,services,married,secondary,no,522,no,yes,unknown,20,jun,911,1,-1,0,unknown,yes
8366,17105,57,retired,divorced,primary,no,63,no,yes,cellular,25,jul,1448,17,-1,0,unknown,yes
25317,41265,37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,yes
2274,45074,37,management,married,tertiary,no,203,no,no,cellular,21,oct,759,1,90,5,success,yes
1040,42982,34,management,divorced,tertiary,no,2885,no,no,cellular,10,feb,314,2,156,4,other,yes
24216,8345,29,blue-collar,single,secondary,no,260,yes,no,unknown,2,jun,707,14,-1,0,unknown,yes
1699,27886,31,self-employed,single,tertiary,no,1657,yes,yes,cellular,28,jan,872,1,-1,0,unknown,yes
26013,20639,33,management,single,tertiary,no,87,no,no,cellular,12,aug,978,1,-1,0,unknown,yes
7252,45207,51,technician,married,tertiary,no,825,no,no,cellular,17,nov,977,3,-1,0,unknown,yes
7893,40418,40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,566,1,395,2,success,yes
25415,32060,40,technician,single,tertiary,no,1175,no,no,cellular,14,apr,184,1,-1,0,unknown,yes
17242,35121,35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,-1,0,unknown,yes
19614,39518,54,unemployed,married,secondary,no,1561,no,no,cellular,25,may,352,3,186,2,failure,yes
26352,20010,35,management,married,tertiary,no,2957,yes,yes,cellular,8,aug,733,3,-1,0,unknown,yes
17861,29398,37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,yes
10973,34006,31,management,married,tertiary,no,1812,no,no,cellular,30,apr,461,1,-1,0,unknown,yes
14018,31661,37,admin.,married,secondary,no,1207,yes,no,telephone,6,apr,1353,2,138,2,success,yes
